SessionID, UserID, SessionStartTime, StudyType, FolderPath, ImageName, ScreenSelected, TaskStartTime, TaskEndTime, Score, Camera, Comments,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\H X,LE H.jpg,Right,10:24:27,10:24:32,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\M R,PK R.JPG,Right,10:24:32,10:24:34,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\P U,TL P.JPG,Left,10:24:34,10:24:36,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\I W,LE W.jpg,Left,10:24:36,10:24:42,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\H M,FR H.jpg,Right,10:24:42,10:24:43,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\N L,BU L.jpg,Left,10:24:43,10:24:46,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\J R,BU J.jpg,Left,10:24:46,10:24:48,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\A Q,BR A.jpg,Right,10:24:48,10:24:51,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\L DD,PI L.jpg,Left,10:24:51,10:24:53,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\N J,PI N.jpg,Right,10:24:53,10:24:54,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\Q F,BT Q.jpg,Right,10:24:54,10:25:07,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\B Y,BU B.jpg,Left,10:25:07,10:25:10,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\P O,EP P.JPG,Right,10:25:10,10:25:19,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\P T,AM P.JPG,Left,10:25:19,10:25:22,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\I O,TL I.jpg,Left,10:25:22,10:25:24,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\C J,GH C.jpg,Left,10:25:25,10:25:29,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\L Q,PI L.jpg,Left,10:25:29,10:25:33,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\N I,BT I.jpg,Left,10:25:33,10:25:36,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\F K,LE K.JPG,Right,10:25:36,10:25:39,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\B N,TL B.JPG,Left,10:25:39,10:25:41,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\N R,BR N.jpg,Right,10:25:41,10:25:45,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\D S,EP D.JPG,Left,10:25:45,10:25:46,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Doubles\N X,LE X.jpg,Right,10:25:46,10:25:55,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\F H,GH F.JPG,Left,10:25:55,10:25:57,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\D F,FR D.jpg,Right,10:25:57,10:26:02,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\B U,TL B.JPG,Right,10:26:02,10:26:06,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\C R,PK R.JPG,Left,10:26:06,10:26:11,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\F J,TL F.JPG,Right,10:26:11,10:26:13,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\DD AA,PI AA.jpg,Left,10:26:13,10:26:15,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\P S,TL P.JPG,Right,10:26:15,10:26:18,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building Corner\S T,BC S.JPG,Right,10:26:18,10:26:28,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\Z Y,PK Z.jpg,Right,10:26:28,10:26:31,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\P W,EP P.JPG,Right,10:26:31,10:26:34,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\I V,GT I.jpg,Left,10:26:35,10:26:40,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\S I,GH I.jpg,Left,10:26:40,10:26:53,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\F M,FL F.JPG,Left,10:26:53,10:26:57,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\G I,TL G.jpg,Left,10:26:58,10:26:59,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\N V,FL N.jpg,Right,10:26:59,10:27:04,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\T A,GH T.jpg,Left,10:27:04,10:27:05,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\T U,EP T.JPG,Right,10:27:05,10:27:08,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\K M,AM K.JPG,Right,10:27:08,10:27:19,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\Q W,FL Q.jpg,Left,10:27:19,10:27:21,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\F J,MB F.JPG,Left,10:27:21,10:27:23,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building Corner\DD D,BC D.jpg,Left,10:27:23,10:27:25,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\B Q,AM B.JPG,Left,10:27:25,10:27:30,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\E V,BR E.JPG,Left,10:27:30,10:27:35,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\CC Y,PI CC.jpg,Left,10:27:35,10:27:37,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\C W,GH C.jpg,Left,10:27:37,10:27:41,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\G R,FL G.jpg,Right,10:27:41,10:27:42,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\D A,FL D.JPG,Left,10:27:43,10:27:46,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\I BB,PI I.jpg,Right,10:27:47,10:27:48,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\B O,GT B.JPG,Right,10:27:49,10:28:04,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building Corner\I BB,BC I.jpg,Left,10:28:05,10:28:08,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\B H,GH B.JPG,Right,10:28:08,10:28:13,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\G N,PI N.jpg,Left,10:28:13,10:28:37,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Doubles\T I,FL T.JPG,Right,10:28:37,10:28:46,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\C H,FR H.jpg,Left,10:28:46,10:28:47,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\M I,EP M.JPG,Right,10:28:48,10:28:50,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\W T,BR W.JPG,Right,10:28:51,10:28:53,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\A K,GH A.JPG,Left,10:28:53,10:28:59,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\H O,EP H.jpg,Right,10:28:59,10:29:05,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\Q F,BU Q.jpg,Left,10:29:05,10:29:14,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\AA CC,BU CC.jpg,Left,10:29:14,10:29:18,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\B Y,PI B.jpg,Right,10:29:18,10:29:20,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\T D,GH D.jpg,Left,10:29:20,10:29:25,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\W O,BR W.JPG,Left,10:29:25,10:29:29,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\Q F,MB Q.jpg,Right,10:29:29,10:29:36,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\E G,LE E.JPG,Right,10:29:36,10:29:38,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\N I,EP N.jpg,Left,10:29:38,10:29:41,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\G P,FR G.jpg,Right,10:29:41,10:29:43,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\G I,GH I.jpg,Right,10:29:43,10:29:56,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\H T,FL H.jpg,Left,10:29:56,10:29:58,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\L X,FL L.JPG,Left,10:29:58,10:30:02,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building Corner\I AA,BC I.jpg,Right,10:30:02,10:30:06,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\H Z,PI H.jpg,Right,10:30:06,10:30:08,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\Q T,GT Q.jpg,Right,10:30:08,10:30:10,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\A P,GH A.JPG,Left,10:30:10,10:30:17,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\R S,AM R.jpg,Right,10:30:17,10:30:51,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\E C,GH C.jpg,Right,10:30:51,10:30:54,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Doubles\V Z,FR V.jpg,Right,10:30:54,10:30:56,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\Q N,AM Q.jpg,Right,10:30:56,10:30:58,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\J H,BU J.jpg,Right,10:30:58,10:30:59,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\J R,FR J.JPG,Right,10:31:00,10:31:01,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\R E,FL R.jpg,Left,10:31:01,10:31:02,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\R P,AM P.JPG,Left,10:31:03,10:31:04,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\G W,LE G.jpg,Right,10:31:05,10:31:10,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\I R,GT I.jpg,Left,10:31:10,10:31:18,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\W X,MB W.JPG,Right,10:31:18,10:31:23,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\B H,MB B.JPG,Right,10:31:23,10:31:24,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\Q O,BU O.jpg,Left,10:31:26,10:31:28,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\BB CC,PI CC.jpg,Left,10:31:29,10:31:31,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\V Z,FR V.jpg,Right,10:31:31,10:31:33,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\L A,BU L.jpg,Left,10:31:33,10:31:35,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\U X,AM U.JPG,Left,10:31:35,10:31:38,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\J X,AM J.JPG,Left,10:31:38,10:31:42,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\N R,MB N.jpg,Right,10:31:42,10:31:44,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building Corner\H B,BC H.jpg,Left,10:31:44,10:31:46,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\F S,PK S.JPG,Left,10:31:46,10:31:49,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\P N,GT P.JPG,Left,10:31:49,10:31:51,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\T V,MB T.JPG,Right,10:31:51,10:31:54,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building Corner\N K,BC N.jpg,Right,10:31:55,10:31:56,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\S H,BR H.jpg,Right,10:31:56,10:32:05,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\H O,BR H.jpg,Right,10:32:05,10:32:08,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\Q W,PK Q.jpg,Right,10:32:08,10:32:11,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\C D,PK D.jpg,Left,10:32:12,10:32:27,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\S F,FL S.jpg,Right,10:32:27,10:32:29,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\F M,BR F.JPG,Right,10:32:29,10:32:34,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\P V,TL P.JPG,Right,10:32:34,10:32:36,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\N R,GT N.jpg,Right,10:32:36,10:32:38,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\R P,BU R.JPG,Left,10:32:38,10:32:40,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\L N,MB L.JPG,Left,10:32:40,10:32:42,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\A P,FL P.JPG,Left,10:32:42,10:32:44,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\AA W,PK AA.jpg,Left,10:32:44,10:32:49,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\S O,MB S.jpg,Left,10:32:50,10:32:54,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\B F,FR B.JPG,Left,10:32:54,10:32:56,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\P J,BT P.JPG,Right,10:32:56,10:32:59,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\H L,LE H.jpg,Left,10:32:59,10:33:01,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\J V,LE V.jpg,Left,10:33:01,10:33:15,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\J Q,PK J.jpg,Left,10:33:18,10:33:19,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Pipes\T C,PI C.jpg,Right,10:33:19,10:33:23,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\J S,FR J.JPG,Left,10:33:24,10:33:32,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\P M,TL P.JPG,Left,10:33:32,10:33:34,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\A G,TL G.jpg,Left,10:33:34,10:33:36,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\O Q,BT O.JPG,Left,10:33:36,10:33:38,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\R Y,FR R.JPG,Left,10:33:39,10:33:41,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\B I,AM B.JPG,Right,10:33:41,10:33:44,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\I G,BR I.jpg,Left,10:33:45,10:33:46,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Doubles\W D,PI D.jpg,Right,10:33:46,10:33:50,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Building\H B,BU B.jpg,Right,10:33:50,10:33:57,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\X K,BT K.JPG,Right,10:33:57,10:33:59,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\F N,EP F.JPG,Left,10:33:59,10:34:00,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\A D,LE A.jpg,Right,10:34:00,10:34:02,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\A S,EP A.jpg,Right,10:34:02,10:34:03,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\A G,MB A.jpg,Left,10:34:03,10:34:07,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\U L,AM U.JPG,Left,10:34:07,10:34:10,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\P K,MB P.JPG,Left,10:34:10,10:34:13,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\D G,BT D.JPG,Right,10:34:14,10:34:16,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Ghent\P J,GH J.JPG,Left,10:34:16,10:34:30,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\B S,GT B.JPG,Left,10:34:31,10:34:32,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\A I,FR A.JPG,Left,10:34:32,10:34:36,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Flowers\P Q,FL P.JPG,Right,10:34:36,10:34:39,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Green Tree\F H,GT F.JPG,Right,10:34:39,10:34:42,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Beach Toys\X V,BT V.jpg,Right,10:34:42,10:34:46,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\V U,EP V.jpg,Left,10:34:46,10:34:52,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\X J,EP X.JPG,Right,10:34:53,10:34:54,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Evacuation Plan\H T,EP H.jpg,Right,10:34:54,10:34:56,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Mirror Ball\E Q,MB E.JPG,Right,10:34:56,10:34:59,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Doubles\J X,AM J.JPG,Left,10:35:00,10:35:04,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\C E,FR C.JPG,Right,10:35:04,10:35:11,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Parking\N I,PK I.jpg,Left,10:35:11,10:35:18,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\AutumnMtn\P S,AM P.JPG,Right,10:35:18,10:35:28,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Fruit\E O,FR E.jpg,Right,10:35:28,10:35:29,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Tree Lake\A B,TL A.jpg,Right,10:35:30,10:35:38,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Levi\D F,LE D.JPG,Right,10:35:38,10:35:40,-1,0,,
1,1,08 gru 2016 10:22:36,Comparison Study,C:\UXStudy\Phase1\Bridge\S L,BR S.jpg,Right,10:35:40,10:35:43,-1,0,,
